Company Name,Ticker,Optionable,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F1 Consensus Est.,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Sales Growth F(0)/F(-1),Annual Sales ($mil),EBIT ($mil),Cost of Goods Sold ($mil),Net Income  ($mil),Cash Flow ($mil),Current Assets  ($mil),Industry,Sector,Market Cap (mil)
"Costamare","CMRE","YES",".69",".73","1","3.52","1098.26501","272.75","40.35","1113.86","676.92498","333.71798","554.95501","627.565","1014.622","Transportation - Shipping","Transportation","1114.17"
"Chimerix","CMRX","YES","-.24","-.24","4","-.85","16.25",".365","1609.15","33.82","172.203",".44699","172.167","170.932","228.138","Medical - Products","Medical","105.93"
"CMS Energy","CMS","YES",".5",".51","4","3.11","8958.56445","2007.16796","17.29","8596","1423","5834","837","1964","3433","Utility - Electric Power","Utilities","18172.81"
"Claros Mortgage Trust, Inc.","CMTG","YES",".38",".38","1","1.52","342.17001","86.16999","9.34","287.2","112.15499","39.46099","112.064","197.882","7708.58593","REIT and Equity Trust","Finance","1658.58"
"Comtech Telecommunications","CMTL","YES","","","","","537.95001","135.85","-16.41","486.24","-32.044","306.40301","-33.052","46.958","263.33099","Wireless Equipment","Computer and Technology","334.09"
"CNA Financial","CNA","YES","1.13",".92","2","4.24","11120.0498","2781.22998","-.24","11879","1193","6386","894","970","11283","Insurance - Property and Casualty","Finance","10519.39"
"Centene","CNC","YES","1.78","1.33","7","6.34","140286.25","35286.42968","14.74","144547","2627","127891","1202","4914.06787","30128","Medical - HMOs","Medical","36357.24"
"Conduent","CNDT","YES","","","","","","","-6.81","3858","-43","3018","-182","656","1625","Outsourcing","Business Services","727.29"
"ZW Data Action Technologies","CNET","YES","","","","","","","23.22","47.33","-2.511","47.22999","-2.754","3.59299","19.91799","Advertising and Marketing","Business Services","11.54"
"CNH Industrial","CNHI","YES",".46",".44","7","1.7","25910.4707","6816.43017","-29.55","23551","3416","16797","2029","2529","29670","Automotive - Foreign","Auto-Tires-Trucks","18631.18"
"Canadian National Railway","CNI","YES","1.5","1.56","8","5.82","13045.79492","3320.48803","13.92","13158.58","5623.62207","3622.16308","3936.76611","5278.98388","2474.51611","Transportation - Rail","Transportation","79191.61"
"Cinemark","CNK","YES",".39",".22","6",".34","2821.31396","821.01702","62.51","2454.7","-86.5","1589.19995","-271.20002","-50.1","863.59997","Leisure and Recreation Services","Consumer Discretionary","1831.31"
"Core & Main","CNM","YES",".46",".6","3","1.84","6605.91699","1589.06005","32.91","6651","775","4856","366","514","2211","Waste Removal Services","Business Services","5413.47"
"CONMED","CNMD","YES",".79",".81","6","3.31","1193.05798","300.78698","3.45","1045.47","-41.95701","474.22698","-80.58201","159.425","581.22601","Medical - Dental Supplies","Medical","3246.75"
"Cannae","CNNE","YES","-.38","-.37","1","-.54","668.70001","174.1","-10.79","662.1","-323.29999","571.40002","-428.10001","-202.80001","310.6","Financial - Investment Management","Finance","1461.1"
"CNO Financial Group","CNO","YES",".65",".69","4","2.69","3701.09912","922.46997","-13.23","3576.8","654.29998","1658.30004","396.79998","619.20001","5330.10009","Insurance - Multi line","Finance","2496.11"
"ConnectOne Bancorp","CNOB","YES",".68",".67","2","2.81","316.07","78.51499","21.91","386.99","192.28999","50.561","125.21099","129.25399","8337.32519","Banks - Northeast","Finance","680.05"
"CenterPoint Energy","CNP","YES",".32",".32","4","1.49","9208.92187","1952.95703","11.6","9321","1941","5924","1057","2210","4699","Utility - Electric Power","Utilities","19415.95"
"Canadian Natural Resources Limited","CNQ","YES","1.1","1.3","3","5.76","25294.81054","5984.41015","45.35","38098.13","10963.41113","14372.5","8412.74023","15550.05957","5428.24511","Oil and Gas - Exploration and Production - Canadian","Oils-Energy","64402.99"
"Cohen & Steers","CNS","YES","","","","","","","-2.9","566.91","196.897","0","171.042","199.60099","319.691","Financial - Investment Management","Finance","3091.2"
"Consolidated Communications","CNSL","YES","","","","","","","-7.09","1191.26","-79.784","546.66101","140.085","263.22399","598.14398","Wireless - Regional - Rural","Utilities","329.13"
"Centessa Pharmaceuticals","CNTA","YES","-.4","-.4","3","-1.6","","","","","-209.92101","0","-216.20701","-216.07601","437.747","Medical - Drugs","Medical","361.36"
"Connect Biopharma Holdings","CNTB","YES","-.59","-.61","1","-2.21","","","","","-204.696","0","-204.969","-204.329","275.12799","Medical - Biomedical and Genetics","Medical","59.99"
"Century Casinos","CNTY","YES",".23",".36","3",".75","563","140.83299","10.82","430.53","71.841","231.436","7.97599","52.13899","228.01899","Gaming","Consumer Discretionary","210.89"
"CNX Resources","CNX","YES",".35",".49","5","1.9","1805.54797","418.18499","66.65","1261.21","-84.25801","666.66601","-142.077","1002.67102","573.80401","Oil and Gas - Exploration and Production - United States","Oils-Energy","2715.22"
"Concentrix","CNXC","YES","2.78","3.19","1","11.77","6768.20019","1654.59997","13.2","6324.47","675.07897","4067.20996","435.04901","926.57897","1754.33203","Business - Services","Business Services","5878.07"
"PC Connection","CNXN","YES",".88",".97","1","3.5","3228.80004","792.59002","8.03","3125","121.635","2598.81909","89.219","101.19699","953.79199","Retail - Computer Hardware","Retail-Wholesale","1178.55"
"China Cord Blood","CO","YES","","","","","","","10.8","196.12","99.038","28.916","79.041","86.60099","1093.97094","Medical Services","Medical",""
"Vita Coco Company","COCO","YES",".16",".22","2",".64","470.35","126.5","12.72","427.79","11.09899","324.42599","7.814","21.73299","174.91799","Beverages - Soft drinks","Consumer Staples","1164.67"
"Compass Diversified Holdings","CODI","YES",".43",".51","4","1.83","2359.5249","565.89697","22.93","2264.04","170.58","1356.30004","36.387","190.658","1210.18505","Financial - Investment Funds","Finance","1348.03"
"CoDiagnostics","CODX","YES","-.22","-.22","2","-.87","4.19999","1","-65.04","34.22","-18.84701","5.48099","-14.238","14.59","92.734","Medical Services","Medical","45.46"
"Capital One Financial","COF","YES","3.69","3.49","13","14.31","36508.03906","9022.03125","19.79","38373","10828","2535","7360","10174","332654","Financial - Consumer Loans","Finance","36191.71"
"Cogent Biosciences","COGT","YES","-.6","-.6","5","-2.29","","","","7.87","-140.241","0","-140.241","-141.03701","264.966","Medical - Biomedical and Genetics","Medical","757.52"
"COHERENT CORP","COHR","YES",".88","1.03","6","3.69","5407.95605","1358.13","6.78","3316.62","403.061","2051.12011","234.759","810.04498","4305.19189","Technology Services","Business Services","4582.99"
"Cohu","COHU","YES",".41",".47","2","1.93","693.79998","164.05","-8.39","812.78","130.89199","429.449","96.847","190.33599","764.85101","Electronics - Manufacturing Machinery","Computer and Technology","1684.16"
"Coinbase Global","COIN","YES","-.92","-.88","6","-4.1","2752.54907","667.98999","-59.25","3194.21","-2975.68091","629.88","-2624.94898","-2461.62696","86448.21875","Securities and Exchanges","Finance","14221.75"
"Columbia Banking System","COLB","YES",".94",".99","4","3.47","2151.35009","571.84997","18.32","745.63","324.759","16.533","250.17799","314.053","11886.03027","Banks - West","Finance","1712.02"
"Americold Realty Trust","COLD","YES",".26",".31","1","1.19","2799.64111","683.263","7.37","2914.74","77.817","2218.77197","-19.44001","318.97","562.031","REIT and Equity Trust - Other","Finance","7578.91"
"Collegium Pharmaceutical","COLL","YES","1.34","1.47","4","5.78","571.945","140.76199","67.56","463.93","34.366","254.445","-25.00201","291.67898","419.98901","Medical - Drugs","Medical","800.22"
"Columbia Sportswear","COLM","YES",".01","1.88","3","5.46","3633.71289","593.86999","10.8","3464.15","397.41","1753.07397","311.44","455.91598","2136.94091","Textile - Apparel","Consumer Discretionary","5495.83"
"CommScope","COMM","YES",".47",".59","7","2.04","9126.91015","2236.5039","7.47","9228.1","-711.09998","6424","-1286.90003","1108.90002","3726.19995","Communication - Infrastructure","Computer and Technology","1229.12"
"Compass","COMP","YES","-.11","-.07","2","-.5","4814","1514.95996","-6.28","6018","-586.59998","0","-601.5","-514.29999","517.90002","Internet - Software","Computer and Technology",""
"COMSovereign","COMS","YES","","","","","","","34.08","12.64","-150.20101","6.497","-153.049","58.492","21.58499","Communication - Network Software","Computer and Technology","5.98"
"Conn's","CONN","YES","-1.35","-1.02","2","-3.19","1324.17297","299.56201","-15.57","1342.53","-29.47201","710.234","-59.292","46.93999","831.09698","Retail - Consumer Electronics","Retail-Wholesale","126.97"
"CONX","CONX","YES","","","","","","","","","25.408","0","24.19499","24.19499","1.41999","Unclassified","Unclassified","276.71"
"The Cooper Companies","COO","YES","2.99","3.33","8","12.73","3527.90405","859.63","13.2","3308.4","532.59997","1168.80004","385.79998","963.50201","1533.59997","Medical - Dental Supplies","Medical","18412.34"
"Traeger","COOK","YES","-.02","-.08","5","-.07","578.05603","161.92999","-16.5","655.9","-353.06901","427.12899","-382.14002","267.259","274.238","Consumer Products - Discretionary","Consumer Discretionary","424.34"
"Mr. Cooper Group","COOP","YES","1.14","1.38","3","5.23","1682.73303","403.26699","-25.74","2464","1638","0","923","227","1721","Financial - Consumer Loans","Finance","2871.79"
"ConocoPhillips","COP","YES","2.49","2.86","8","10.63","65583.11718","16010.95996","69.92","82156","29033","41541","18680","25094","18749","Oil and Gas - Integrated - United States","Oils-Energy","128774.22"
"CorEnergy Infrastructure Trust","CORR","YES",".39",".42","1","1.65","","","4.3","133.65","6.07999","73.19599","-12.757","33.935","48.449","REIT and Equity Trust - Other","Finance","18.73"
"Corcept Therapeutics","CORT","YES",".23",".23","5",".86","432.85","108.68599","9.8","401.86","116.191","5.385","101.41799","104.257","499.25299","Medical - Drugs","Medical","2405.08"
"Core Scientific","CORZQ","YES","","","","","794.367","","17.6","640.31","-2066.58301","631.91302","-2146.31812","1883.16601","85.10199","Technology Services","Business Services","122.1"
"Cosmos Health Inc.","COSM","YES","","","","","","","1.51","56.24","-4.26701","47.909","-7.962","1.20669","40.879","Medical - Drugs","Medical","32.72"
"Costco Wholesale","COST","YES","3.36","4.7","11","14.4","242429.09375","54945.625","15.83","226954","7998","199382","5844","7744","32696","Retail - Discount Stores","Retail-Wholesale","215523.97"
"Coty","COTY","YES",".04",".15","6",".37","5361.33593","1228.979","14.57","5304.4","650.79998","1935.19995","259.5","742.79998","1681.90002","Cosmetics","Consumer Staples","9924.22"
"Coursera","COUR","YES","-.1","-.05","5","-.27","601.61499","144.20899","26.12","523.76","-170.637","192.27699","-175.357","-35.81701","875.98797","Technology Services","Business Services","1668.6"
"Canadian Pacific Railway Limited","CP","YES",".86",".9","6","3.37","10237.77636","2784","6.29","6779.67","3689.85205","2247.60205","2705.27587","3239.07788","1453.01904","Transportation - Rail","Transportation","70699.67"
"Copa Holdings","CPA","YES","1.65","2.68","4","11.63","3349.40795","767.50799","96.37","2965.03","475.86099","1226.83105","348.05398","603.08502","1235.82495","Transportation - Airline","Transportation","3466.23"
"Campbell Soup","CPB","YES",".65",".55","6","3.01","9348.62207","2220.77197","1.01","8562","1164","5935","757","1198","1963","Food - Miscellaneous","Consumer Staples","16611.94"
"Callon Petroleum","CPE","YES","2.62","2.88","8","10.82","2418.92309","598.39599","57.99","3230.96","1301.276","865.833","1209.81604","1369.807","297.638","Oil and Gas - Exploration and Production - United States","Oils-Energy","2180.3"
"CPB","CPF","YES",".6",".61","2","2.37","259.08999","64.5","7.16","280.58","104.75399","11.10799","73.928","86.483","5625.22216","Banks - West","Finance","465.42"
"Crescent Point Energy","CPG","YES",".31",".33","1","1.1","3189.44506","733.42999","35.09","3456.06","1488.32495","735.20098","1141.031","1474.85803","760.893","Oil and Gas - Exploration and Production - Canadian","Oils-Energy","4060.36"
"Cumberland Pharmaceuticals","CPIX","YES","","","","","","","16.75","42.01","-4.995","9.119","-5.57001","7.37809","45.86999","Medical - Drugs","Medical","28.93"
"Chesapeake Utilities","CPK","YES","1.04",".61","1","5.32","726","174","19.43","680.7","147.98399","443.18701","89.79599","169.813","193.97599","Utility - Gas Distribution","Utilities","2319.56"
"Capital Product Partners","CPLP","YES",".9",".92","3","3.65","326.74798","79.39399","61.95","299.07","180.84199","83.69599","125.42099","209.46899","166.32299","Transportation - Shipping","Transportation","255.48"
"Coupang","CPNG","YES",".08",".09","2",".3","23634.39648","5706.40478","11.82","20582.62","-65.936","15872.74023","-92.042","138.923","5830.12988","Internet - Commerce","Retail-Wholesale","27926.59"
"Capri Holdings","CPRI","YES","1.39","1.67","6","6.39","5779.59179","1314.958","39.26","5654","897","1910","822","1146","1891","Retail - Apparel and Shoes","Retail-Wholesale","5390.43"
"Copart","CPRT","YES",".62",".58","4","2.34","3798.67211","1012.76202","30.02","3500.92","1357.64196","1894.69995","1090.13","1214.99194","2202.45507","Auction and Valuation Services","Business Services","35448.95"
"Catalyst Pharmaceuticals","CPRX","YES",".35",".37","5","1.46","379.88299","93.98899","52.1","214.2","104.719","34.393","83.079","84.318","320.79699","Medical - Drugs","Medical","1836.27"
"CooperStandard","CPS","YES","","","","","","","8.38","2525.39","-121.98601","2395.60009","-215.38401","-49.028","945.64898","Automotive - Original Equipment","Auto-Tires-Trucks","207.86"
"CPS Technologies","CPSH","YES","","","","","","","18.43","26.59","2.888","19.28599","2.131","2.57669","17.818","Electronics - Miscellaneous Components","Computer and Technology","41.47"
"Computer Programs and Systems","CPSI","YES",".67",".73","1","2.86","346.92498","86.485","16.4","326.65","24.40099","172.21299","15.55599","60.693","74.55899","Medical Info Systems","Medical","445.35"
"Consumer Portfolio Services","CPSS","YES","","","","","","","23.11","329.71","203.71699","0","85.983","95.80799","2709.95703","Financial - Miscellaneous Services","Finance","197.14"
"Camden Property Trust","CPT","YES","1.73","1.76","6","6.95","1539.22998","383.764","24.41","1422.76","777.89801","498.08099","653.61297","1230.63305","30.802","REIT and Equity Trust - Residential","Finance","11381.22"
"Compute Health Acquisition","CPUH","YES","","","","","","","","","34.53599","0","32.37099","32.37099","1.01199","Unclassified","Unclassified","1107.23"
"Cheniere Energy Partners","CQP","YES",".6",".62","5","2.73","11556.17285","2748","82.38","17206","3368","13095","2498","4219","2620","Oil and Gas - Production and Pipelines","Oils-Energy","22517.22"
"Charles River Associates","CRAI","YES","1.44","1.46","4","5.69","621.08502","156.455","4.41","590.9","60.62599","410.08099","43.45199","69.592","248.86","Consulting Services","Business Services","749.96"
"Corebridge Financial, Inc.","CRBG","YES",".9",".94","5","3.75","19186.34375","4263.80712","-22.98","18015","10994","11028","8149","2878","38455","Insurance - Multi line","Finance","10322.17"
"Corbus Pharmaceuticals","CRBP","YES","-2.35","-2.39","1","-6.86","","","-77.6",".88","-40.21501","0","-42.34701","-34.99201","60.18099","Medical - Drugs","Medical","32.67"
"Caribou Biosciences","CRBU","YES","-.49","-.51","4","-1.97","20.75","3.5833","44.31","13.85","-99.351","0","-99.421","-98.59601","260.24798","Medical - Biomedical and Genetics","Medical","324.27"
"California Resources","CRC","YES",".85","1.03","2","5.17","2507.25","586.09997","43.3","2707","814","1225","524","582","864","Oil and Gas - Exploration and Production - United States","Oils-Energy","2806.04"
"Cricut","CRCT","YES",".07",".08","1",".3","863.64202","185.80599","-32.15","886.3","81.981","536.40301","60.666","87.623","811.26202","Technology Services","Business Services","2207.39"
"Crawford & Company","CRD.A","YES",".18",".25","1",".87","1239","306.89999","8.08","1231.23","15.357","924.872","-18.30501","70.9","351.26699","Business - Services","Business Services","440.78"
"Cardiff Oncology","CRDF","YES","-.25","-.28","3","-1.06",".3",".075","7.52",".39","-38.704","0","-38.704","-37.836","111.28399","Medical - Biomedical and Genetics","Medical","66.79"
"Cardiol Therapeutics","CRDL","YES","","","","-.52","","","",".06","-23.792","0","-23.792","-23.623","47.25799","Medical - Drugs","Medical","30.1"
"Credo Technology Group","CRDO","YES","-.04","-.04","2",".06","183.1","31","81.4","106.48","-22.213","42.462","-22.17601","-5.47","332.177","Technology Services","Business Services","1338.59"
"Cresud","CRESY","YES","","","","","","","61.22","814.44","644.41601","427.096","296.70401","353.43301","903.90399","Agriculture - Operations","Consumer Staples","370.05"
"Charge Enterprises, Inc.","CRGE","YES","-.04","-.04","1","-.17","696.24102","171.8","46.29","697.83","-18.16901","669.61999","-30.34901","-14.62601","116.509","Electronics - Miscellaneous Products","Computer and Technology","219.31"
"Crescent Energy Company","CRGY","YES",".46",".54","1","1.46","2103","513","106.98","3057.06","612.828","0","96.674","739.58099","516.73901","Alternative Energy - Other","Oils-Energy","2010.23"
"CRH","CRH","YES","","","","3.71","32832.65625","","5.62","32723","3870","21844","3847","4441","14801","Building Products - Miscellaneous","Construction","35472.93"
"Carter's","CRI","YES",".83","1.87","2","5.97","3005.40991","617.27502","-7.85","3212.73","359.51699","1740.375","250.03799","339.36401","1188.71997","Shoes and Retail Apparel ","Consumer Discretionary","2647.07"
"Curis","CRIS","YES","-.1","-.1","2","-.42","11.119","2.71499","-4.57","10.16","-51.90101",".25699","-56.67201","-56.08801","92.119","Medical - Biomedical and Genetics","Medical","58.94"
"Comstock Resources","CRK","YES",".36",".47","6","1.86","2062.41992","462.95999","96.03","3628.06","1573.03503","353.01699","1140.88195","1538.36596","644.98699","Oil and Gas - Exploration and Production - United States","Oils-Energy","2886.1"
"Charles River Laboratories International","CRL","YES","2.48","2.45","6","10.2","4083.54907","1010.65698","12.31","3976.06","682.27801","2513.40893","486.22601","874.492","1439.03198","Medical Services","Medical","10061.82"
"Salesforce","CRM","YES","1.61","1.68","14","7.11","34621.44921","8169.74121","18.35","31352","660","8360","208","10678","26395","Computer - Software","Computer and Technology","192550"
"CorMedix","CRMD","YES","-.2","-.16","1","-.72","","","-65.97",".06","-30.26001",".00373","-29.702","-29.49301","59.55099","Medical - Biomedical and Genetics","Medical","188.23"
"America's CarMart","CRMT","YES","1.38","1.59","2","3.84","1399.328","376.07598","31.98","1212.36","131.32099","663.63098","93.30699","98.11499","1026.42297","Automotive - Retail and Whole Sales","Retail-Wholesale","490.81"
"Cerence","CRNC","YES","-.04","-.17","3","-.05","285.08099","72.221","-15.31","327.89","-184.357","97.16799","-310.82599","288.082","227.51899","Computers - IT Services","Computer and Technology","1077.67"
"Ceragon Networks","CRNT","YES","","","","","","","1.52","295.17","-3.81901","202.11","-7.39901","10.60599","223.037","Wireless Non-US ","Computer and Technology","139.88"
"Crinetics Pharmaceuticals","CRNX","YES","-.84","-.83","4","-3.32","3.75","2.815","339.42","4.74","-162.90801","0","-163.918","-162.90101","345.18399","Medical - Drugs","Medical","856.61"
"Cronos Group","CRON","YES","-.04","-.03","3","-.15","96.36699","24.2","23.47","91.9","-134.55901","79.93499","-168.734","-105.55301","960.156","Medical - Drugs","Medical","704.06"
"Crocs","CROX","YES","3.19","3.11","5","11.19","3998.40991","1062.67199","53.67","3554.99","854.66601","1694.703","540.15899","716.557","1025.97497","Textile - Apparel","Consumer Discretionary","7525.07"
"Carpenter Technology","CRS","YES",".68",".49","1","1.05","2326.5","627.35998","24.44","1836.3","-18.20001","1686.5","-49.1","80","1119.40002","Steel - Speciality","Basic Materials","2021.38"
"CRISPR Therapeutics","CRSP","YES","-2.23","-2.35","8","-7.35","155.018","1.63069","-99.87","1.2","-650.5","0","-650.17499","-626.003","1853.026","Medical - Biomedical and Genetics","Medical","3570.56"
"Corsair Gaming","CRSR","YES",".1",".16","2",".58","1468.71997","308.39001","-27.78","1375.1","-54.58001","1078.46594","-54.38801","72.37","622.79302","Gaming","Consumer Discretionary","1793.3"
"Criteo","CRTO","YES",".4",".67","4","2.69","1008.97998","228.742","-10.52","2017","42.061","1221.80297","8.95199","323.41598","1260.99597","Internet - Software and Services","Computer and Technology","1979.05"
"Cirrus Logic","CRUS","YES",".45","1.54","4","6.52","1916.06005","311.18798","30.11","1781.46","369.61099","857.81896","326.35501","470.303","840.01501","Electronics - Semiconductors","Computer and Technology","5677.12"
"CorVel","CRVL","YES","","","","","","","16.93","646.23","84.512","494.11599","66.41","90.32599","264.99398","Business - Services","Business Services","3286.12"
"Corvus Pharmaceuticals","CRVS","YES","","","","-.43","","","","","-41.307","0","-41.307","-41.11001","43.664","Medical - Biomedical and Genetics","Medical","50.29"
"CrowdStrike","CRWD","YES",".49",".53","11","2.28","2997.78002","674.328","54.4","2241.24","-134.564","601.23101","-183.245","632.99102","3640.26708","Internet - Software","Computer and Technology","30148.13"
"Crown Crafts","CRWS","YES","","","","","","","10.35","87.36","12.376","64.052","9.918","11.67599","46.50799","Textile - Home Furnishing","Consumer Discretionary","56.96"
"Credit Suisse Group","CS","YES","","","","-.67","16405.625","","-7.87","22879.21","1997.29699","1829.63305","-7642.33497","786.11499","493744.3125","Banks - Foreign","Finance","2749.22"
"Champions Oncology","CSBR","YES","-.08","","","-.29","53.63999","12.84","19.66","49.11",".583","23.63199",".54799","2.17499","19.66399","Medical - Drugs","Medical","61.28"
"Cisco Systems","CSCO","YES",".97","1.03","10","3.76","56541.19531","14388.58691","3.49","51557","14837","19309","11812","16051","36717","Computer - Networking","Computer and Technology","209992.86"
"CoStar Group","CSGP","YES",".25",".26","4","1.09","2470.6101","607.10101","12.26","2182.4","486.457","414.00799","369.453","722.53497","5185.86718","Computers - IT Services","Computer and Technology","27806.96"
"CSG Systems International","CSGS","YES",".76",".91","3","3.54","1092.35302","259.95999","4.13","1089.75","77.21299","565.16802","44.06","189.845","765.95501","Computer - Services","Computer and Technology","1723.78"
"Cardiovascular Systems","CSII","YES","-.1","-.17","3","-.68","257.49398","70.619","-8.79","236.22","-34.989","63.43999","-36.933","-30.664","241.84599","Medical - Products","Medical","838.9"
"Canadian Solar","CSIQ","YES","1.46","1.59","4","5.24","8968.83789","2282.31689","41.53","7468.61","430.734","6205.47412","239.968","239.968","5644.65722","Solar","Oils-Energy","2431.34"
"Carlisle Companies","CSL","YES","6.25","6.57","3","20.81","6475.56298","1787.56994","37.04","6591.9","1281.5","4434.5","921.79998","1304.80004","2245","Diversified Operations","Conglomerates","10502.01"
"Castlight Health","CSLT","YES","","","","","","","","146.71","-62.183","52.04199","-62.183","75.023","84.78199","Internet - Software","Computer and Technology",""
"Centerspace","CSR","YES","1.08","1.09","3","4.37","267.75","66.34999","27.27","256.72","15.109","38.462","-13.469","92.09899","11.89099","REIT and Equity Trust - Residential","Finance","833.15"
"Chicken Soup for the Soul Entertainment","CSSE","YES","-.78","-.72","3","-3.19","498.36898","121.856","129","252.81","-111.41001","215.82099","-101.544","-2.3971","145.89799","Broadcast Radio and Television","Consumer Discretionary","43.23"
"Caesarstone","CSTE","YES",".14",".22","1",".57","693.08001","181.75999","7.29","690.81","-58.68701","527.56097","-57.05401","46.969","407.858","Building Products - Miscellaneous","Construction","131.47"
"Castle Biosciences","CSTL","YES","-.75","-.71","2","-2.99","171.395","42.235","45.65","137.04","-68.88701","32.00899","-67.13801","-57.96301","292.28799","Medical - Biomedical and Genetics","Medical","591.57"
"Constellium","CSTM","YES",".37",".38","1","1.33","7135.74023","1929.11999","17.55","8556.72","351.90301","7847.21289","317.134","619.57202","2166.2019","Metal Products - Distribution","Industrial Products","2033.21"
"Capstar Financial","CSTR","YES",".42",".42","3","1.64","125.04","31.107","-2.19","138.05","51.20899","15.00199","39.01699","44.83399","2479.51611","Banks - Southeast","Finance","315.17"
"Carriage Services","CSV","YES",".51",".59","2","2.33","381.247","94.35299","-1.52","370.17","83.08899","250.94799","41.381","63.21599","37.97399","Funeral Services","Consumer Staples","425.72"
"Capital Southwest","CSWC","YES",".63",".63","4","2.53","160.36599","38.222","20.79","82.21","63.354","0","42.81499","41.91199","27.277","Financial - Investment Management","Finance","606.17"
"CSW Industrials","CSWI","YES","","","","","","","49.43","626.43","96.914","370.47299","66.385","106.23","300.147","Chemical - Specialty","Basic Materials","2070.24"
"CSX","CSX","YES",".47",".47","5","1.87","14698.09863","3685.45605","18.62","14853","6156","4707","4166","5580.35986","3849","Transportation - Rail","Transportation","61576.41"
"Cintas","CTAS","YES","3.18","3.6","7","12.81","8768.44433","2244.11694","10.37","7854.46","1587.61206","4222.21289","1235.75695","1596.38305","2631.98291","Uniform and Related","Industrial Products","45905.02"
"Community Trust Bancorp","CTBI","YES","1.09","1.11","2","4.37","230.14999","57.54999","7.13","255.66","105.61399","24.068","81.814","92.499","3811.94091","Banks - Southeast","Finance","669.44"
"Computer Task Group","CTG","YES",".15",".17","2",".62","319.29998","79.98","-17.13","325.08","11.435","245.003","6.609","11.48799","99.888","Computers - IT Services","Computer and Technology","112.91"
"CTI BioPharma","CTIC","YES","-.08","-.06","4","-.18","124.55","29.79999","","53","-79.853","3.51399","-92.992","-91.04101","99.396","Medical - Drugs","Medical","557.67"
"Cytek Biosciences","CTKB","YES",".05",".07","1",".25","228.6","54.075","28.2","164.04","3.83299","63.062","2.57599","26.31999","454.01998","Medical - Biomedical and Genetics","Medical","1216.17"
"Cantaloupe","CTLP","YES",".08",".04","1","-.01","246.33399","66.911","22.92","205.2","-.993","141.007","-1.703","3.76999","136.58","Financial Transaction Services","Business Services","399.27"
"Catalent","CTLT","YES","1.43",".38","2","3.11","4690.61718","1370.43701","20.76","4828","728","3188","503","1088","2916","Medical - Drugs","Medical","11696.88"
"CytomX Therapeutics","CTMX","YES","-.18","-.17","5","-.68","77","17.375","-23.59","53.16","-99.31701","0","-99.31701","-96.92601","237.102","Medical - Biomedical and Genetics","Medical","103.32"
"CTO Realty Growth","CTO","YES",".42",".43","1","1.64","99.527","23.97599","17.14","82.32","11.44299","22.857","3.15799","34.929","53.102","REIT and Equity Trust - Other","Finance","387.29"
"Custom Truck One Source","CTOS","YES",".04",".06","3",".27","1683.427","395.673","34.78","1573.09","135.638","1189.33801","38.90499","271.93099","868.24499","Automotive - Original Equipment","Auto-Tires-Trucks","1538.22"
"Coterra Energy","CTRA","YES",".54",".68","6","2.71","6508.21289","1498.25805","162.42","9051","5239","1415","4065","5527","2211","Oil and Gas - Exploration and Production - United States","Oils-Energy","19091.66"
"CareTrust REIT","CTRE","YES",".38",".38","3","1.52","213.05","52.59999","1.97","196.13","22.502","4.333","-7.50601","50.72499","13.59399","REIT and Equity Trust - Other","Finance","1951.43"
"Castor Maritime","CTRM","YES","","","","","","","98.49","262.1","128.494","96.009","118.56099","141.57699","166.24099","Transportation - Shipping","Transportation","73.31"
"Citi Trends","CTRN","YES","-.42","-.37","1",".73","782.79998","180.1","-19.83","795.01","79.54799","584.06298","58.89199","9.362","192.60699","Retail - Apparel and Shoes","Retail-Wholesale","147.57"
"CTS","CTS","YES",".62",".63","1","2.55","614","155","14.42","586.87","82.929","376.33099","59.575","108.99299","325.76","Electronics - Miscellaneous Components","Computer and Technology","1413.56"
"Cognizant Technology Solutions","CTSH","YES","1.05","1.16","7","4.46","19559.05859","4849.06689","4.98","19428","3035","12448","2290","2853.81005","7266","Business - Software Services","Computer and Technology","30771.58"
"Cytosorbents","CTSO","YES","-.12","-.1","3","-.36","42.50999","9.3667","-19.64","34.69","-33.905","13.956","-32.813","-31.681","33.75999","Medical - Products","Medical","139.29"
"Corteva","CTVA","YES","1.73","-.05","5","2.89","18392.35156","6604.85205","11.5","17455","1505","10436","1147","3157","16795","Agriculture - Operations","Consumer Staples","42613.8"
"Citius Pharmaceuticals","CTXR","YES","-.04","-.04","2","-.14","1.1","","","","-33.065","0","-33.641","-33.461","44.56399","Medical - Drugs","Medical","200.37"
"CubeSmart","CUBE","YES",".67",".69","6","2.71","1068.52294","266.27499","53.48","1009.62","389.65301","293.26","291.263","605.77001","8.925","REIT and Equity Trust - Other","Finance","10737.38"
"Customers Bancorp","CUBI","YES","1.36","1.48","3","5.39","640.84997","158.19999","6.86","917.65","326.71099","226.23899","228.03399","241.171","16242.92968","Banks - Southeast","Finance","551.45"
"Cue Biopharma","CUE","YES","-.34","-.35","3","-1.36","1.2",".3","-91.67","1.25","-52.29601","0","-53.01","-52.378","77.18699","Medical - Biomedical and Genetics","Medical","145.91"
