,Industry,businessOverview,cleanGeo,cleanName,des,description,symbol,divDate,assetType,lastPrice,52WkHigh,52WkLow,low52,marketCap,dividendPayDate,beta,currentRatio,divGrowthRate3Year,divYield,dividendAmount,dividendDate,dividendPayAmount,dividendYield,epsChange,epsChangePercentTTM,epsChangeYear,epsTTM,grossMarginMRQ,grossMarginTTM,high52,interestCoverage,ltDebtToEquity,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,pbRatio,pcfRatio,peRatio,pegRatio,prRatio,quickRatio,returnOnAssets,returnOnEquity,returnOnInvestment,revChangeTTM,sharesOutstanding,shortIntDayToCover,shortIntToFloat,totalDebtToCapital,totalDebtToEquity,totalVolume,vol10DayAvg,vol1DayAvg,vol3MonthAvg,volatility
598,"Computers, Phones  Household Electronics","Synaptics Incorporated is engaged in the development, marketing and sale of intuitive human interface solutions for electronic devices and products. The Company is a developer and supplier of custom-designed human interface product solutions that enable people to interact with a range of mobile computing, communications, entertainment and other electronic devices. It operates in the market of smartphones, tablets, personal computer PC products, Internet of things, IoT products and other electronic devices, including devices in automobiles. Its products include ClearPad, ClearView, TouchView, Natural ID, TouchPad, SecurePad, ClickPad and ForcePad. Its other product solutions include dual pointing solutions, TouchStyk, and TouchButtons. The Companys dual pointing solutions offer TouchPad with a pointing stick in a single notebook computer, enabling users to select their interface of choice.",US,Synaptics,-,Synaptics Incorporated - Common Stock,SYNA,,EQUITY,128.41,299.39,109.26,109.26,5365.896, ,1.4351,3.02849,0.0,0.0,0.0, ,0.0,0.0,0.0,202.0903,337.3905,6.33423,55.85642,54.2105,299.39,14.0,77.04517,17.40134,14.70943,26.04954,19.9862,4.23713,14.33199,21.38066,0.105798,3.08438,2.66228,10.06509,23.05695,13.3462,29.86712,39607181.0,0.0,0.0,43.66799,77.51895,394840,424707.0,424710.0,8823430.0,0.0671
599,-,-,-,SPDR SP Dividend ETF,"The Fund seeks to provide investment results that correspond to the total return performance of SampP High Yield Dividend Aristocrats Index. The Fund invests at least 8% of its assets in the securities comprising the index, designed to track the performance of publicly traded issuers that have historical dividend payments.",SPDR SP Dividend ETF,SDY,2022-06-17 00:00:00.000,ETF,128.37,133.22,113.22,,,,,,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580484,462347.0,479000.0,15811400.0,0.0401
600,Freight  Logistics Services,"Cryoport, Inc. Cryoport, is a life sciences services company that is an integral part of the supply chain supporting the biopharma, reproductive medicine and animal health markets. Through its products and services, the Company enables its clients to ship, store and deliver cellular-based materials and drug products as well as other life sciences commodities in a precise, defined temperature-controlled state. The Companys advanced platform is comprised of comprehensive and technology-centric systems and solutions are designed to support the global high-volume distribution of commercial biologic and cell-based products and therapies regulated by the United States Food and Drug Administration FDA and other international regulatory bodies for distribution in the Americas, Europe, the Middle East, and Africa EMEA and Asia-Pacific APAC regions. The Companys subsidiaries include Cryoport Systems, Inc., MVE Biological Solutions, CRYOPDP and Cryogene Partners.",US,CryoPort,-,"CryoPort, Inc. - Common Stock",CYRX,,EQUITY,36.89,86.3,19.82,19.82,1884.314, ,1.12065,14.2088,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,44.95191,42.60022,86.3,0.0,71.39213,0.0,0.0,0.0,0.0,3.39986,0.0,0.0,0.0,8.20737,12.182499,0.0,0.0,0.0,35.84452,48489803.0,0.0,0.0,41.72198,71.59128,325146,408281.0,408280.0,8596900.0,0.0913
601,Healthcare Equipment  Supplies,"Acutus Medical, Inc. is an arrhythmia management company. The Company designs, manufactures and markets a range of tools for catheter-based ablation procedures to treat various arrhythmias. The Companys product portfolio includes access sheaths, transseptal crossing tools, diagnostic and mapping catheters, ablation catheters, mapping and imaging consoles and accessories, as well as supporting algorithms and software programs. Its AcQMap System consists of the single-use AcQMap catheter as well as its console, workstation and software algorithms. With 48 ultrasound transducers interspersed between 48 biopotential electrodes, its mapping catheter collects the data required to create a map of the cardiac anatomy and electrical propagation pathways and patterns. The Companys software algorithms analyze the biopotential data and maps any type of arrhythmia, including atrial fibrillation, as well as all supraventricular tachycardias and ventricular arrhythmias.",US,Acutus Medical,-,"Acutus Medical, Inc. - Common Stock",AFIB,,EQUITY,1.28,13.65,0.48,0.48,39.15108, ,0.0,5.10581,0.0,0.0,0.0, ,0.0,0.0,0.0,35.20853,119.7666,0.0,0.0,0.0,13.65,0.0,45.13835,95.62540199999991,0.0,71.58710649999996,0.0,0.51039,0.0,0.0,0.0,2.34157,4.43236,0.0,0.0,0.0,19.02897,28336285.0,0.0,0.0,32.19726,47.48666,117856,275900.0,275900.0,67759030.0,0.0
602,Electrical Utilities  IPPs,"Hawaiian Electric Industries, Inc. is a holding company with its principal subsidiaries engaged in electric utility and banking businesses operating primarily in the State of Hawaii. The Companys subsidiaries include Hawaiian Electric Company, Inc. Hawaiian Electric and ASB Hawaii, Inc. ASB Hawaii. Its segments include Electric utility, Bank and Other. It operates its electric utility business through Hawaiian Electric and its subsidiaries, Hawaii Electric Light Company, Inc. Hawaii Electric Light and Maui Electric Company, Limited Maui Electric. It operates its Bank segment through ASB Hawaiis subsidiary, American Savings Bank, F.S.B. ASB. Its electric public utilities are in the business of generating, purchasing, transmitting, distributing and selling electric energy. ASB is a federally chartered savings bank providing a range of banking services to individual and business customers.",US,Hawaiian Electric Industries,-,"Hawaiian Electric Industries, Inc. Common Stock",HE,2022-08-17 00:00:00.000,EQUITY,41.6,44.9,37.94,37.94,4679.804,2022-09-09 00:00:00.000,0.29388,0.0,0.0,3.27,1.4,2022-08-17 00:00:00.000,0.35,3.27,0.0,0.0,0.0,2.1828,9.67701,11.60038,44.9,3.99447,115.3591,5.91934,7.52946,9.67701,11.60038,2.09523,9.57029,19.58494,0.0,1.45886,0.0,1.52829,10.41742,1.57742,22.58458,109431346.0,0.0,0.0,54.71583,120.8277,355654,356274.0,356270.0,8592960.0,0.0431
603,Office Equipment,"PAR Technology Corporation PAR is a provider of systems and service solutions for the hospitality industry. The Company operates through two segments: Hospitality and Government. The solutions for the restaurant industry integrate software applications, hardware platforms, software delivery, and installation and lifecycle support services. PARs software offerings for the Restaurant market include front-of-store point-of-sale POS software applications, and enterprise software applications for content management and business intelligence. PARs hardware offerings for the restaurant market include POS terminals, kitchen systems utilizing printers andor video monitors, and a range of food safety monitoring and task management hardware and software solutions. PARs Government business provides a range of technical services for the Department of Defense DoD and federal agencies. The Government segment focuses on serving intelligence, surveillance and reconnaissance ISR customers.",US,PAR Technology,-,PAR Technology Corporation Common Stock,PAR,,EQUITY,36.91,73.45,28.87,28.87,1040.489, ,1.80423,4.24383,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,24.82108,24.18197,73.45,0.0,98.14817,0.0,0.0,0.0,0.0,2.61414,0.0,0.0,0.0,3.20311,3.56083,0.0,0.0,0.0,37.18937,27266493.0,0.0,0.0,49.55576,98.23869,183160,251084.0,251080.0,4958230.0,0.1211
604,Healthcare Equipment  Supplies,"Integra LifeSciences Holdings Corporation provides regenerative technologies and neurosurgical solutions. The Company offers a portfolio of brands including AmnioExcel, Bactiseal, Certas, Codman, CUSA, DuraGen, DuraSeal, ICP Express, Integra, MediHoney, MicroFrance, PriMatrix, SurgiMend, TCC-EZ, and VersaTru. The Company offers solutions in orthopedics, neurosurgery, and reconstructive and general surgery. The Company operates through two segments: Codman Specialty Surgical segment, and Orthopedics and Tissue Technologies segment. The Codman Specialty Surgical segment includes the Neurosurgery business, which sells a full line of products for neurosurgery and neuro critical care. The Orthopedics and Tissue Technologies segment includes such offerings as skin and wound repair, bone and joint fixation implants in the upper and lower extremities, bone grafts, and nerve and tendon repair products.",US,Integra LifeSciences Holdings,-,Integra LifeSciences Holdings Corporation - Common Stock,IART,,EQUITY,53.02,76.7,51.21,51.21,4506.736, ,1.0813,3.84787,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,30.34167,1.96107,63.98502,63.58277,76.7,7.12657,90.19337,11.2585,10.61386,15.34884,13.95945,2.71361,15.72999,27.52069,0.0,2.87633,2.7646,4.45513,10.27857,4.85461,3.83686,83504470.0,0.0,0.0,48.25125,93.24138,286700,299921.0,299920.0,9591810.0,0.0435
605,Software  IT Services,"SOHU.COM LTD is a China-based online media, search and game service company principally engaged in the provision of online products and services on personal computers PCs and mobile devices. The Company mainly operates its businesses through three segments, including the Sohu segment, the Sogou segment and the Changyou segment. The Sohu segments main business is the brand advertising business, which offers to users, over Sohus matrices of Chinese language online media, various content, products and services across multiple Internet-enabled devices such as PCs, mobile phones and tablets. The Sogou segment is mainly engaged in search and search-related business, including search and search-related advertising services, as well as Internet value-added services IVAS. The Changyou segment is engaged in online game business the platform channel business, which consists primarily of online advertising and IVAS and the cinema advertising business.",US,Sohu.com Limited ,-,Sohu.com Limited  - American Depositary Shares,SOHU,,EQUITY,17.66,24.5,12.87,12.87,676.8912, ,1.48058,3.09436,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.72518,72.78981,73.58641,24.5,0.0,0.0,4.45066,3.41461,5.18226,5.60318,0.57361,0.0,24.42152,0.0,0.849,0.0,1.05867,3.32779,2.08911,37.36148,38220845.0,0.0,0.0,0.0,0.0,161071,146472.0,146470.0,2592630.0,0.1402
606,Food  Tobacco,"Post Holdings, Inc. is a consumer packaged goods holding company. The Company operates in the center-of-the-store, refrigerated, foodservice, food ingredient and convenient nutrition categories. It operates through five segments: Post Consumer Brands, Weetabix, Foodservice, Refrigerated Retail and BellRing Brands. Post Consumer Brands segment manufactures, markets and sells branded and private label ready-to-eat RTE cereal and hot cereal products. Weetabix segment produces and distributes branded and private label RTE cereal, hot cereals and other cereal-based food products and muesli. Foodservice segment produces and distributes egg and potato products in the foodservice and food ingredient channels. Refrigerated Retail segment produces and distributes side dishes, eggs and egg, cheese, sausage and other refrigerated products to retail customers. BellRing Brands segment markets and distributes ready-to-drink RTD protein shakes powders, nutrition bars and supplements.",US,Post Holdings,-,"Post Holdings, Inc. Common Stock",POST,,EQUITY,88.34,91.48,63.53,63.53,5316.695, ,0.62102,3.02362,0.0,0.0,0.0, ,0.0,0.0,0.0,388.8799,331.2784,10.95531,23.91632,25.19229,91.48,0.0,177.6848,12.10571,12.93631,7.58738,6.91054,1.56604,4.5802,8.12118,0.020884,0.89091,2.3314,6.40064,21.86582,7.07835,18.49844,59758286.0,0.0,0.0,61.90999,177.7172,278094,764153.0,764150.0,9273100.0,0.0339
607,Aerospace  Defense,"Aerojet Rocketdyne Holdings, Inc. is a manufacturer of aerospace and defense products and systems. The Company operates in two segments: Aerospace and Defense, and Real Estate. The Aerospace and Defense segment consists of the operations of the Companys subsidiary, Aerojet Rocketdyne, Inc. Aerojet Rocketdyne, which is a technology-based designer, developer and manufacturer of aerospace and defense products and systems for the United States government, including the Department of Defense DoD, the National Aeronautics and Space Administration NASA, aerospace and defense prime contractors, as well as portions of the commercial sector. The Real Estate segment includes the activities of its subsidiary Easton Development Company, LLC Easton related to the re-zoning, entitlement, sale, and leasing of its excess real estate assets.",US,Aerojet Rocketdyne Holdings,-,"Aerojet Rocketdyne Holdings, Inc. Common Stock",AJRD,,EQUITY,42.66,47.35,35.47,35.47,3547.294, ,0.47473,1.29329,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,1.48587,11.16367,15.80061,47.35,8.62791,48.19718,3.10312,5.73899,5.33586,9.51439,6.007,19.3313,29.67958,0.0,1.63124,1.28104,5.15138,27.17915,8.30312,1.74995,80437515.0,0.0,0.0,44.26755,79.42867,412680,571472.0,571470.0,15797660.0,0.0467
608,Chemicals,"Compass Minerals International, Inc. CMI is a provider of essential minerals that solve natures challenges, including salt for winter roadway safety and other consumer, industrial applications and specialty chemicals for water treatment and other industrial processes. The Companys salt segment produces and markets salt and magnesium chloride for use in road deicing and dust control, food processing, water softeners, and agricultural and industrial applications. The Company also manufactures and distributes specialty chemical business serves the water treatment industry and other industrial processes. The company operates 16 production and packaging facilities throughout the Unites States, Canada, Brazil and the United Kingdom.",US,Compass Minerals Intl,-,Compass Minerals Intl Inc Common Stock,CMP,2022-06-09 00:00:00.000,EQUITY,41.77,75.44,30.67,30.67,1449.791,2022-06-20 00:00:00.000,1.4633,2.53062,0.0,1.41,0.6,2022-06-09 00:00:00.000,0.15,1.41,0.0,0.0,38.87772,0.0,15.78947,15.87367,75.44,0.0,294.4167,0.0,0.0,0.0,3.23276,4.81818,20.13599,0.0,0.0,1.20175,1.11088,0.0,0.0,0.0,25.69285,34160957.0,0.0,0.0,74.64611,294.4167,262430,363683.0,363680.0,8830980.0,0.0794
609,Biotechnology  Medical Research,"Athira Pharma, Inc. is a clinical-stage biopharmaceutical company focused on developing small molecules to restore neuronal health and stop neurodegeneration.",US,Athira Pharma,-,"Athira Pharma, Inc. - Common Stock",ATHA,,EQUITY,3.56,16.65,2.53,2.53,139.9256, ,0.0,26.39909,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.65,0.0,0.0,0.0,0.0,0.0,0.0,0.49873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37635983.0,0.0,0.0,0.0,0.0,332866,301527.0,301530.0,20857340.0,0.1597
610,Healthcare Providers  Services,"Acadia Healthcare Company, Inc. is a provider of behavioral healthcare services, with operations in the United States and the United Kingdom. The Company focuses on acquiring and developing behavioral healthcare facilities. The Company operates through two segments: U.S. Facilities and U.K. Facilities. The Company is engaged in operating acute inpatient psychiatric facilities, specialty treatment facilities, residential treatment centers and facilities providing outpatient behavioral healthcare services. Its U.S. Facilities include approximately 224 behavioral healthcare facilities with approximately 9,5 beds in 4 states and Puerto Rico. The Companys U.K. Facilities include approximately 361 behavioral healthcare facilities with approximately 8,7 beds in the United Kingdom. The Company operates a network of approximately 588 behavioral healthcare facilities with approximately 18,2 beds in 4 states, the United Kingdom and Puerto Rico.",US,Acadia Healthcare Company,-,"Acadia Healthcare Company, Inc. - Common Stock",ACHC,,EQUITY,82.88,83.63,50.07,50.07,7481.666, ,1.29441,1.17294,0.0,0.0,0.0, ,0.0,0.0,0.0,66.87961,78.15947,3.04068,0.0,0.0,83.63,7.3415,51.97338,12.57168,11.56445,19.36755,17.72014,2.77646,18.82237,27.08605,0.404997,3.05448,1.16192,5.99707,11.04942,6.70765,10.20516,90841009.0,0.0,0.0,33.92933,52.80852,562552,432625.0,432630.0,10953020.0,0.0328
611,Biotechnology  Medical Research,United Therapeutics Corporation is a biotechnology company.,US,United Therapeutics,-,United Therapeutics Corporation - Common Stock,UTHR,,EQUITY,220.31,245.48,158.38,158.38,10215.68, ,0.52919,8.09744,0.0,0.0,0.0, ,0.0,0.0,0.0,28.37659,0.0,13.20144,93.63889,93.40862,245.48,4.33978,18.52538,24.84472,35.26584,43.22125,49.56672,2.36425,15.001,17.00118,0.599127,5.71123,7.82624,12.14455,15.85343,12.94573,12.45442,45516299.0,0.0,0.0,15.62988,18.52538,201003,371775.0,371770.0,10003890.0,0.0898
612,Residential  Commercial REIT,"Hannon Armstrong Sustainable Infrastructure Capital, Inc. makes debt and equity investments in sustainable infrastructure, including energy efficiency and renewable energy. ",US,Hannon Armstrong Sustainable Infrastructure Capital,-,"Hannon Armstrong Sustainable Infrastructure Capital, Inc. Common Stock",HASI,2022-10-03 00:00:00.000,EQUITY,39.72,65.74,28.68,28.68,3686.266,2022-10-11 00:00:00.000,1.62355,0.0,0.0,3.57,1.5,2022-10-03 00:00:00.000,0.375,3.57,0.0,0.0,0.0,0.90555,54.09933,51.24611,65.74,0.0,181.1442,0.0,38.81362,0.0,43.55236,2.36239,41.83472,46.45795,0.0,16.46706,0.0,2.05539,5.98519,2.11321,7.58942,87622208.0,0.0,0.0,63.94244,181.1442,735467,907871.0,907870.0,21066560.0,0.1936
613,Healthcare Equipment  Supplies,"NanoString Technologies, Inc. develops, manufactures and sells intuitive products that unlock scientifically valuable and clinically actionable biologic information from minute amounts of tissue. The Company is engaged in the development, manufacture and commercialization of instruments, consumables and services for profiling the activity of hundreds of genes and proteins simultaneously from a single tissue sample. The Companys nCounter Analysis System is an automated, multi-application, digital detection and counting system, which directly profiles hundreds of molecules simultaneously using a barcoding technology. The Company markets systems and related consumables to researchers in academic, government and biopharmaceutical laboratories for use in understanding fundamental biology and the molecular basis of diseases, such as cancer, and to clinical laboratories and medical centers for diagnostic use.",US,NanoString Technologies,-,"NanoString Technologies, Inc. - Common Stock",NSTG,,EQUITY,13.0,62.3425,11.12,11.12,615.582, ,1.90948,6.84162,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,50.79922,52.53457,62.3425,0.0,200.4855,0.0,0.0,0.0,0.0,5.46193,0.0,0.0,0.0,4.30766,6.04068,0.0,0.0,0.0,6.97448,46494106.0,0.0,0.0,66.72053,200.4855,567336,803893.0,803890.0,16625260.0,0.0
614,Freight  Logistics Services,"Kirby Corporation is a domestic tank barge operator, transporting bulk liquid products throughout the Mississippi River System, on the Gulf Intracoastal Waterway, coastwise along all three United States coasts and in Alaska and Hawaii. The Company, through its subsidiaries, operates in two segments: Marine Transportation and Diesel Engine Services. The Company, through its Marine Transportation segment, is a provider of marine transportation services, operating tank barges and towing vessels transporting bulk liquid products throughout the Mississippi River System, on the Gulf Intracoastal Waterway, coastwise along all three United States coasts and in Alaska and Hawaii. Its engine services segment, sells replacement parts, provides service mechanics to overhaul and repair medium-speed and high-speed diesel engines, transmissions, reduction gears, pumps and compression products, maintains facilities to rebuild component parts or entire medium-speed and high-speed diesel engines.",US,Kirby,-,Kirby Corporation Common Stock,KEX,,EQUITY,66.3,75.08,47.58,47.58,4082.784, ,1.32527,1.94368,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,177.1918,0.0,24.94427,25.77141,75.08,4.25667,38.66414,4.09849,0.0,6.66739,0.0,1.39701,0.0,0.0,0.0,1.63381,1.25952,0.0,0.0,0.0,22.32894,59900000.0,0.0,0.0,27.94174,38.80782,153980,251745.0,251750.0,7973990.0,0.0784
615,Communications  Networking,"ViaSat, Inc. is engaged in broadband technologies and services. The Company operates through three segments: satellite services, commercial networks and government systems. The satellite services segment provides satellite-based broadband services to consumers, enterprises, commercial airlines and mobile broadband customers primarily in the United States. The commercial networks segment develops and produces a range of end-to-end satellite and wireless communication systems, ground networking equipment and space-to-earth connectivity systems. The government systems segment develops and produces network-centric Internet Protocol IP-based fixed and mobile secure government communications systems, products, services and solutions, which are designed to enable the collection and dissemination of real-time digital information between command centers, communications nodes and air defense systems.",US,ViaSat,-,"ViaSat, Inc. - Common Stock",VSAT,,EQUITY,36.46,68.76,25.38,25.38,2813.576, ,1.25633,1.55391,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,28.87502,29.72034,68.76,0.0,97.62468,0.0,0.0,0.0,0.0,1.06057,6.07326,0.0,0.0,1.00449,1.05536,0.0,0.0,0.0,17.17309,75552525.0,0.0,0.0,49.30779,99.07485,390861,389685.0,389690.0,8828140.0,0.0591
616,Financial Technology Fintech  Infrastructure,"BIT Mining Ltd, formerly 5.com Ltd, is a China-based company principally engaged in cryptocurrency mining operation business. The Company mainly operates cryptocurrency mining machines for the sole purpose of mining cryptocurrencies primarily bitcoin, and to a lesser extent ether. In addition, the Company provides a comprehensive sports information portal through designated mobile applications, including real-time football match information and data-driven football match predictions generated by a proprietary analysis engine. The Company provides online spot commodity trading services through designated websites and mobile apps of its holding subsidiaries, provides online spot commodity trading for customers for gold trading, and provides delayed products on personal computers and mobile devices. The Company also provides online lottery betting and online casino platforms through its designated websites.",US,BIT Mining Limited ADS,-,BIT Mining Limited ADS,BTCM,,EQUITY,0.3857,14.65,0.36,0.3718,28.8926, ,2.42088,1.2762,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,2.02273,0.60081,14.65,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.0,0.0,0.0,0.01781,0.0,0.0,0.0,0.0,722.5122999999984,901869320.0,0.0,0.0,2.96562,3.47233,1244565,3555732.0,3555730.0,33829700.0,0.2468
617,Leisure Products,"Funko, Inc. is a pop culture consumer products company. The Company is engaged in selling a broad range of pop culture consumer products, featuring characters from a range of media and entertainment content, including movies, TV shows, video games, music and sports. Its products combine its proprietary brands and designs into properties it licenses from content providers. Its product categories include figures, plush, accessories and other. It also offers different types of bags and wallets. It offers its products under various brands, including Pop, Mystery Minis, Dorbz, Pint Size Heroes, Rock Candy, Galactic or Hero Plushies, SuperCute, MyMoji and Loungefly. The Company has licensed properties into four categories: classic evergreen, movie release, current TV and current video game.",US,Funko,-,"Funko, Inc. - Class A Common Stock",FNKO,,EQUITY,21.86,27.79,15.28,15.28,1101.439, ,1.88946,1.36607,0.0,0.0,0.0, ,0.0,0.0,0.0,4.37272,0.0,1.06623,32.66195,34.37326,27.79,8.63587,37.30585,5.00228,5.3853,2.83261,6.46953,2.79297,10.09846,20.60531,4.712241,0.89689,0.75577,6.66219,14.14784,10.08141,45.67362,46840654.0,0.0,0.0,35.83296,59.47902,421932,809258.0,809260.0,16832770.0,0.0684
618,Metals  Mining,"Atok-Big Wedge Co., Inc. is a Philippines-based company, which is engaged in the business of exploration and development of mining, oil, gas and natural resources. The Companys segments include Mining, Exploration and Development, and Stock Transfer Agency. Its subsidiaries include AB Stock Transfer Corporation ABSTC and Tidemark Holdings Limited. Its ABSTC is engaged in establishing, operating and acting as transfer agent andor registrar of corporations, to register all sales, exchanges or other transfer of shares of stock of corporations, to enter and note in the books of the client corporations such sales, exchange, or transfer duly endorsed and surrendered certificates of shares of stock. ABSTC also provides the stock and transfer books for its clients corporations. Tidemark Holdings Limited owns an approximately 27.14% interest in Forum Energy Ltd, and also owns over 7% of service contract 72, which is an oil and gas project in Recto Bank.",US,AllianceBernstein,-,AllianceBernstein Holding L.P.  Units,AB,2022-08-05 00:00:00.000,EQUITY,43.53,57.54,35.2,35.2,4316.702,2022-08-18 00:00:00.000,1.31998,0.0,0.0,6.4,2.84,2022-08-05 00:00:00.000,0.71,6.4,0.0,11.57661,0.0,3.71896,0.0,0.0,57.54,0.0,0.0,90.42305,80.96413649999994,71.58710649999996,70.63164999999991,2.95632,0.0,11.93344,1.030823,10.79923,0.0,23.98962,24.02308,23.98962,10.54195,102789258.0,0.0,0.0,0.0,0.0,185324,229835.0,229830.0,5856300.0,0.1159
619,Banking Services,"Goldman Sachs BDC, Inc. is a closed-end management investment company. The Company is a specialty finance company, which is focused on lending to middle-market companies. Its investment objective is to generate current income and, to a lesser extent, capital appreciation through investment in secured debt, including first and second lien debt, unsecured debt, including mezzanine debt and, to a lesser extent investment in equities. Its portfolio includes first liensenior secured debt, first lienlast-out unitranche, second liensenior secured debt, and common stock. It may also invest in investments, such as in large the United States companies, foreign companies, stressed or distressed debt, structured products or private equity. It invests in various sectors, including textiles, apparel and luxury goods, semiconductors and semiconductor equipment, automobiles, and energy equipment and services. Goldman Sachs Asset Management, L.P. is the investment advisor of the Company.",US,Goldman Sachs BDC,-,"Goldman Sachs BDC, Inc. Common Stock",GSBD,2022-09-29 00:00:00.000,EQUITY,17.14,20.6,15.8701,15.8701,1784.761,2022-10-27 00:00:00.000,1.23815,0.0,0.0,10.3,1.8,2022-09-29 00:00:00.000,0.45,10.3,0.0,0.0,0.0,1.3339,66.8741,67.92087,20.6,1.59786,127.3771,24.11398,40.39881,64.05433,65.84653,1.1246,0.0,13.09693,0.0,5.30858,0.0,3.88708,8.4435,3.98258,21.40799,101950593.0,0.0,0.0,56.0202,127.3771,239223,326859.0,326860.0,8306390.0,0.0475
620,Biotechnology  Medical Research,"Celldex Therapeutics, Inc. is a biopharmaceutical company.",US,Celldex Therapeutics,-,"Celldex Therapeutics, Inc. - Common Stock",CLDX,,EQUITY,32.88,57.2,19.85,19.85,1543.488, ,2.41814,12.28685,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.2,0.0,0.0,0.0,0.0,0.0,0.0,4.22696,0.0,0.0,0.0,396.7431349999962,0.0,0.0,0.0,0.0,0.0,46772351.0,0.0,0.0,0.0,0.0,351146,549928.0,549930.0,17562170.0,0.1185
621,Residential  Commercial REIT,Ares Commercial Real Estate Corporation is a specialty finance company.,US,Ares Commercial Real Estate,-,Ares Commercial Real Estate Corporation Common Stock,ACRE,2022-09-29 00:00:00.000,EQUITY,13.75,16.48,11.18,11.18,747.4387,2022-10-17 00:00:00.000,1.27315,0.0,0.0,9.61,1.32,2022-09-29 00:00:00.000,0.33,9.61,0.0,0.0,0.0,1.10959,55.35848,57.68003,16.48,0.0,238.6944,25.97292,33.58246,26.22666,33.7915,0.95094,13.91567,12.37394,0.0,4.70617,0.0,2.15361,7.28118,2.17292,17.69837,54438363.0,0.0,0.0,70.47486,238.6944,482988,351476.0,351480.0,13972790.0,0.0544
622,Pharmaceuticals,"Fortress Biotech, Inc.Fortress is a biopharmaceutical company that acquires, develops and commercializes novel pharmaceutical and biotechnology products.",US,Fortress Biotech,-,"Fortress Biotech, Inc. - Common Stock",FBIO,,EQUITY,1.02,3.81,0.771,0.771,122.8177, ,2.13484,2.84968,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,59.58382,55.5469,3.81,0.0,115.7932,0.0,0.0,0.0,0.0,1.59024,0.0,0.0,0.0,1.49464,2.69668,0.0,0.0,0.0,56.06032,107413121.0,0.0,0.0,39.61686,125.4885,172118,293444.0,293440.0,12544110.0,0.4082
623,Healthcare Equipment  Supplies,"Biocept, Inc. is an early stage molecular oncology diagnostics company. The Company develops and commercializes circulating tumor cell CTC and circulating tumor nucleic acid, including circulating tumor deoxyribonucleic acid ctDNA and circulating tumor ribonucleic acid ctRNA, assays using a standard blood sample or liquid biopsy. Its blood and cerebrospinal fluid CSF assays are intended to provide information to aid healthcare providers by identifying tumor cells associated with progression or metastasis and identifying specific oncogenic alterations that may qualify a subset of cancer patients for targeted therapy. The Companys Target-Selector CTC and molecular platforms provide both biomarker detection as well as monitoring capabilities and require only a patient blood sample or CSF sample to inform treatment decisions. It also offers sensitive polymerase chain reaction PCR based assay through Aegea Biotechnologies, Inc. Aegea for detecting the COVID-19 virus.",US,Biocept,-,"Biocept, Inc. - Common Stock",BIOC,,EQUITY,0.97,4.44,0.84,0.84,17.59978, ,0.82904,3.37571,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,48.1825,38.37565,4.44,0.0,3.29742,0.0,0.0,0.0,0.0,0.47326,0.0,0.0,0.0,0.27743,3.1472,0.0,0.0,0.0,44.93101,16922868.0,0.0,0.0,5.70905,6.05471,83448,103159.0,103160.0,2226120.0,0.4831
