Industry,businessOverview,cleanGeo,cleanName,des,description,symbol
Software  IT Services,"Paylocity Holding Corporation is a cloud-based provider of payroll and human capital management HCM, software solutions for medium-sized organizations. The Companys services are provided in a software-as-a-service delivery model utilizing its cloud-based platform. The cloud-based platform provides a suite of applications using a multi-tenant architecture. The cloud-based platform features a suite of unified payroll and HCM applications. The Company, through cloud-based platform, offers various products, which include Paylocity Web Pay, Core HR Web HR, Talent Management, Time and Labor Web Time and Web Expense, Benefits Web Benefits, and Third-Party Administrative TPA Services. The multi-tenant software platform is configurable and includes a unified suite of payroll and HCM applications, such as time and labor tracking, benefits and talent management.",US,Paylocity Holding,-,Paylocity Holding Corporation - Common Stock,PCTY
Specialty Retailers,"Zumiez Inc., including its subsidiaries, is a specialty retailer of apparel, footwear, accessories and hardgoods for young men and women through the fashion, music, art and culture of action sports, streetwear and other lifestyles. The Company operates under the names Zumiez, Blue Tomato and Fast Times. Additionally, it operates e-commerce Websites at www.zumiez.com, www.blue-tomato.com and www.fasttimes.com.au. It offers various categories of shoes, such as skate shoes, casual shoes, high tops, sandals, slip ons, runners, boots and shoe accessories, such as socks. It also offers flannels, baseball tees, hoodies, baseball hats, windbreakers, shirts, jackets, jerseys, sweaters and tanks, among others. For women, it offers t-shirts, tank tops, hoodies and sweatshirts, cardigans, jackets, skirts, jeans, joggers, leggings and dresses, among others. It provides various accessories, including watches, sunglasses, bracelets, earrings, rings, beanies, hats, belts, wallets and phone accessories",US,Zumiez,-,Zumiez Inc. - Common Stock,ZUMZ
Professional  Commercial Services,"MSCI Inc. is focuses on providing support tools and services for the global investment community. Its operating segments include Index, Analytics, Burgiss, and All Other segments. All Other segment comprises environmental, social and governance ESG and Real Estate segments. Its indexes are used in various areas of the investment process, including index-linked product creation and performance benchmarking, as well as portfolio construction and rebalancing, and asset allocation. The Analytics segment uses analytical content to create products and services, which offer institutional investors an integrated view of risk and return. Its ESG products include MSCI ESG Ratings, MSCI ESG Business Involvement Screening Research, and MSCI Climate Solutions. The Real Estate segment includes research, reporting, market data and benchmarking offerings that provide real estate performance analytics for funds, investors and managers.",US,MSCI,-,MSCI Inc Common Stock,MSCI
Chemicals,"Methanex Corp is a Canada-based producer and supplier of methanol to international markets in North America, Asia Pacific, Europe and South America. The Company operates three plants in New Zealand supply methanol primarily to customers in Asia Pacific. It operates two plants in Geismar, two plants in Trinidad, Titan and Atlas and supplies to methanol markets around the globe. Its joint venture in Egypt is located on the Mediterranean Sea and primarily supplies methanol to the domestic and European market. Its plant in Medicine Hat, Alberta, supplies methanol to customers in North America. Its two plants in Punta Arenas, Chile supply methanol to customers in South America and around the globe. The Companys wholly owned subsidiary, Waterfront Shipping, operates its fleet which is made up of deep-sea tankers ranging from 3, to 5, deadweight tons of capacity.",US,Methanex,-,Methanex Corporation - Common Stock,MEOH
Banking Services,"Hilltop Holdings Inc is a financial holding company. Its primary line of business is to provide business and consumer banking services from offices located throughout Texas through PlainsCapital Bank. PlainsCapital Banks wholly owned subsidiary, PrimeLending, provides residential mortgage lending throughout the United States. Hilltop Holdings broker-dealer subsidiaries, Hilltop Securities Inc. and Hilltop Securities Independent Network Inc., provide a full complement of securities brokerage, institutional and investment banking services in addition to clearing services and retail financial advisory. Its segments include Its segments include Banking, Broker-Dealer and Mortgage Origination.",US,Hilltop,-,Hilltop Holdings Inc.,HTH
Healthcare Providers  Services,"Surgery Partners, Inc. is a healthcare services company. The Companys segments include Surgical facility services, Ancillary facility services and Optical services. The Companys Surgical Facility Services segment consists of the operation of ambulatory surgery centers ASCs and surgical hospitals, which include its anesthesia services. The Companys surgical facilities primarily provide non-emergency surgical procedures across a range of specialties, which include gastrointestinal GI, general surgery, ophthalmology, orthopedics and pain management. The Companys Ancillary facility services segment consists of a diagnostic laboratory, a specialty pharmacy and multi-specialty physician practices. The Companys physician practices include its owned and operated physician practices pursuant to long-term management service agreements. The Companys Optical Services segment consists of an optical laboratory, an optical products group purchasing organization.",US,Surgery Partners,-,"Surgery Partners, Inc. - Common Stock",SGRY
Pharmaceuticals,"SCYNEXIS, Inc. is a biotechnology company. The Company is developing its lead product candidate, ibrexafungerp, as a broad-spectrum, intravenous oral agent for multiple fungal indications in both the community and hospital settings.",US,SCYNEXIS,-,"SCYNEXIS, Inc. - Common Stock",SCYX
Communications  Networking,"EchoStar Corporation is a holding company. The Company is a provider of satellite operations, video delivery solutions, digital set-top boxes, and broadband satellite technologies and services for home and office, delivering network technologies, managed services, and solutions for enterprises and governments. The Company operates through three segments: Hughes, EchoStar Technologies ETC and EchoStar Satellite Services ESS. The Companys Hughes segment provides broadband satellite technologies and broadband services for the home and office, delivering network technologies, managed services and communication solutions to domestic and international consumers and enterprise and government customers. The ETC segment provides end-to-end video and broadcast technology products and services to businesses and directly to consumers. The ESS segment operates its business using its owned and leased in-orbit satellites. Its operations also include real estate and other activities.",US,EchoStar,-,EchoStar Corporation - Common stock,SATS
Freight  Logistics Services,"Daseke, Inc. provides transportation and logistics solutions with a focus on flatbed and specialized freight in North America. It operates through two segments: Flatbed Solutions and Specialized Solutions. The Flatbed Solutions segment is focused on delivering transportation and logistics solutions that principally require the use of flatbed and retractable-sided transportation equipment. The Company, through its Specialized Solutions segment transports aircraft parts, manufacturing equipment, structural steel, pressure vessels, wind turbine blades, heavy machinery, commercial glass, high security cargo, arms, ammunition and explosives, lumber, and building and construction materials. It also provides industrial warehousing space. The Company operates a fleet of approximately 6, tractors and 13, flatbed and specialized trailers.",US,Daseke,-,"Daseke, Inc. - Common Stock",DSKE
Investment Banking  Investment Services,"Blucora, Inc. is a provider of technology-enabled financial solutions to consumers, small business owners and tax professionals. The Company operates through the Wealth Management and Tax Preparation segments. Its Wealth Management segment consists of Avantax Wealth Management, which provides financial advisors with an integrated platform of brokerage, investment advisory and insurance services to assist in making each financial advisor a financial service center for its clients. Its Tax Preparation segment provides digital do-it-yourself DDIY tax preparation solutions for consumers, small business owners and tax professionals. The Company, through its subsidiary TaxAct, Inc., provides digital tax preparation solutions. Avantax Wealth Managements model provides an open-architecture investment platform and technology tools to help financial advisors identify investment opportunities for their clients. TaxAct, Inc. offers pricing and packaging options for tax professionals.",US,Blucora,-,"Blucora, Inc. - Common Stock",BCOR
Pharmaceuticals,"Annexon, Inc. is a clinical-stage biopharmaceutical company focused on developing a pipeline of therapies for patients with classical complement-mediated disorders of the body, brain and eye.",US,Annexon,-,-,ANNX
Software  IT Services,"Science Applications International Corporation SAIC is a provider of technical, engineering and enterprise information technology IT services. The Company provides its services primarily to the United States Government, including the Department of Defense DoD, the intelligence community and federal civilian agencies. The Company provides engineering, systems integration and information technology offerings for government projects, and offers a range of services with a targeted emphasis on higher-end, differentiated technology services. The Companys offerings include engineering technology and equipment platform integration maintenance of ground and maritime systems logistics training and simulation operation and program support services, and end-to-end services spanning the design, development, integration, deployment, management and operations, sustainment and security of its customers entire IT infrastructure.",US,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION ,-,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION Common Stock,SAIC
Healthcare Equipment  Supplies,"Waters Corporation is an analytical instrument manufacturer. The Company operates through two segments: Waters and TA. It designs, manufactures, sells and services high performance liquid chromatography HPLC, ultra performance liquid chromatography UPLC and together with HPLC, referred to as LC and mass spectrometry MS technology systems and support products, including chromatography columns, other consumable products and post-warranty service plans. It also designs, manufactures, sells and services thermal analysis, rheometry and calorimetry instruments through its TA product line. It is also a developer and supplier of software-based products that interface with the Companys instruments, as well as other suppliers instruments. Its LC and LC-MS instruments are utilized in a range of industries to detect, identify, monitor and measure the chemical, physical and biological composition of materials, and to purify a range of compounds.",US,Waters,-,Waters Corporation Common Stock,WAT
-,-,-,Global X FinTech ETF,The Fund seeks to provide investment results that correspond generally to the price and yield performance of the INDXX Global Fintech Thematic Index. The Underlying Index is designed to provide exposure to exchange-listed companies in developed markets that provide financial technology products and services.,Global X FinTech ETF,FINX
Aerospace  Defense,"Huntington Ingalls Industries, Inc. is a military shipbuilding company and a provider of professional services to partners in government and industry. The Companys business consists of the design, construction, repair and maintenance of nuclear-powered ships and non-nuclear ships for the United States Navy and coastal defense surface ships for the United States Coast Guard, as well as the refueling and overhaul and inactivation of nuclear-powered ships for the United States Navy. It operates through three segments: Ingalls Shipbuilding Ingalls, Newport News Shipbuilding Newport News and Technical Solutions. Its Ingalls segment includes its non-nuclear ship design, construction, repair and maintenance businesses. Its Newport News includes all of its nuclear ship design, construction, overhaul, refueling, and repair and maintenance businesses. Its Technical Solutions segment provides a range of professional services to the governmental and energy markets.",US,Huntington Ingalls Industries,-,"Huntington Ingalls Industries, Inc. Common Stock",HII
Healthcare Equipment  Supplies,"Lucira Health, Inc. is medical technology company. The Company is focused on the development and commercialization of transformative and infectious disease test kits. The Company has developed a testing platform that produces high-complexity-laboratory-accurate molecular testing in a single-use and test kit that is powered by two AA batteries and fit in the palm of a hand. Its initial focus is within respiratory diseases, starting with COVID-19 and influenza A and B virus indications. It has developed LUCIRA COVID-19 All-In-One Test Kit COVID-19 test kit, is a single-use, molecular in vitro diagnostic test that has an analytical sensitivity to detect the SARS-CoV-2 virus. The test is authorized for prescription at-home use.",US,Lucira Health,-,"Lucira Health, Inc. - Common Stock",LHDX
Insurance,"SiriusPoint Ltd., formerly Third Point Reinsurance Ltd., is a global insurance and reinsurance company. The Companys insurance lines include Environmental, Property, Energy, Workers Compensation, and Aviation and Space. Its reinsurance lines include Life, Accident and Health, Property, Marine and Energy, Casualty, and Credit and Bond. The Company underwrites a diverse portfolio serving clients and brokers in approximately 15 countries.",US,SiriusPoint Ltd,-,SiriusPoint Ltd. Common Shares,SPNT
-,-,-,Invesco NASDAQ Next Gen 1 ETF,"The Fund seeks to track the investment results of the NASDAQ Next Generation 1 Index, which is comprised of securities of the largest 1 Nasdaq-listed companies outside of the NASDAQ-1 Index. The Fund generally will invest at least 9% of its total assets in the securities that comprise the Underlying Index.",Invesco NASDAQ Next Gen 1 ETF,QQQJ
-,-,US,Hoegh LNG Partners LP Common Units representing Limited Partner Interests,-,Hoegh LNG Partners LP Common Units representing Limited Partner Interests,HMLP
Chemicals,"Trinseo S.A. is a materials company engaged in the manufacture and marketing of plastics, latex binders and synthetic rubber, including various specialty products and sustainable solutions. The Companys segments include Latex Binders, Synthetic Rubber, Basic Plastics, Feedstocks, Americas Styrenics, Engineered Materials and Base Plastics. The Latex Binders segment produces styrene-butadiene latex SB latex and other latex polymers and binders. The Synthetic Rubber segment produces synthetic rubber products used in tires, impact modifiers and technical rubber products. The Engineered Materials segment includes the Companys compounds and blends products. The Basic Plastics segment produces acrylonitrile-butadiene-styrene ABS, styrene-acrylonitrile SAN, and polycarbonate PC, as well as compounds and blends for automotive and other applications. The Feedstocks segment includes its production and procurement of styrene monomer outside of North America.",US,Trinseo S.A,-,Trinseo S.A. Ordinary Shares,TSE
Biotechnology  Medical Research,"Voyager Therapeutics, Inc. is a clinical-stage gene therapy company. ",US,Voyager Therapeutics,-,"Voyager Therapeutics, Inc. - Common Stock",VYGR
Semiconductors  Semiconductor Equipment,"Monolithic Power Systems, Inc. designs, develops and markets integrated power semiconductor solutions and power delivery architectures. The Company operates in the design, development, marketing and sale of power solutions for the communications, storage and computing, consumer and industrial markets segment. The Companys product families include Direct Current DC to DC Products, and Lighting Control Products. The Companys DC to DC integrated circuits ICs are used to convert and control voltages within a range of electronic systems, such as portable electronic devices, wireless local area network LAN access points, computers, monitors, automobiles and medical equipment. Lighting control ICs are used in backlighting and general illumination products. In addition to Alternating Current ACDC offline solutions for lighting illumination applications, the Company also offers ACDC power conversion solutions for end products that plug into a wall outlet.",US,Monolithic Power Systems,-,"Monolithic Power Systems, Inc. - Common Stock",MPWR
"Machinery, Equipment  Components","Wabash National Corporation is a diversified industrial manufacturer and producer of semi-trailers and liquid transportation systems. The Companys segments include Commercial Trailer Products Diversified Products, and Corporate and Eliminations segment. The Company designs, manufactures and markets a range of products, including dry freight and refrigerated trailers, platform trailers, bulk tank trailers, dry and refrigerated truck bodies, truck-mounted tanks, intermodal equipment, aircraft refueling equipment, structural composite panels and products, trailer aerodynamic solutions, and specialty food grade and pharmaceutical equipment. The Companys Commercial Trailer Products segment manufactures standard and customized van and platform trailers, truck bodies and other transportation related equipment. The Companys Diversified Products segment consists of business units, including Tank Trailer Aviation  Truck Equipment Process Systems, and Composites.",US,Wabash National,-,Wabash National Corporation Common Stock,WNC
Residential  Commercial REIT,"UMH Properties, Inc. UMH is a real estate investment trust REIT.",US,UMH Properties,-,"UMH Properties, Inc. Common Stock",UMH
Semiconductors  Semiconductor Equipment,"Ultra Clean Holdings, Inc. is engaged in the design, engineering and manufacture of production tools, modules and subsystems the semiconductor capital equipment industry. The Companys products include precision robotic solutions gas delivery systems a range of industrial and automation production equipment products subsystems that includes wafer cleaning sub-systems, chemical delivery modules, top-plate assemblies, frame assemblies, and process modules. The Company offers its products for the semiconductor capital equipment and equipment industry segments. It also sells to the consumer, medical, energy, industrial, flat panel and research equipment industries. The Company is focused on providing specialized engineering and manufacturing solutions for these applications. It provides its original equipment manufacturing OEM customers an outsourced solution for the development, design, component sourcing, prototyping, engineering, manufacturing and testing of various systems.",US,Ultra Clean Holdings,-,"Ultra Clean Holdings, Inc. - Common Stock",UCTT
Professional  Commercial Services,"Triton International Limited is a lessor of intermodal containers and chassis. The Company operates through two business segments: Equipment leasing and Equipment trading. The Companys equipment leasing operations include the acquisition, leasing, re-leasing and ultimate sale of multiple types of intermodal transportation equipment, primarily intermodal containers. The Company purchases containers from shipping line customers and other sellers of containers. The Company resells these containers to container retailers and users of containers for storage and one-way shipments. As of December 31, 216, the Company leased five types of equipment: dry freight containers, refrigerated containers, special containers, tank containers, and chassis. The Company operated its business through 28 subsidiary offices located in 14 different countries, as of December 31, 216.",US,Triton International Limited Common Shares,-,Triton International Limited Common Shares,TRTN
Semiconductors  Semiconductor Equipment,"Onto Innovation Inc. is a semiconductor equipment and software technology company. It offers a portfolio of technologies for wafer manufacturing, front-end process control and lithography technology for advanced semiconductor packaging. The Company and its wholly-owned subsidiaries provide process control metrology and inspection systems used primarily in the fabrication of semiconductors and other solid-state devices as well as industrial and scientific applications. Its optical critical dimension OCD technology is a dimension measurement technology that is used to determine the dimensions on the semiconductor wafer that directly controls the resulting performance of the integrated circuit devices. Its thin film metrology systems use a broad spectrum of wavelengths, high-sensitivity optics, software and technology. The Company is also a supplier of overlay metrology for controlling lithography and etch processes in the compound semiconductor market.",US,Onto Innovation,-,Onto Innovation Inc. Common Stock,ONTO
"Machinery, Equipment  Components","MSC Industrial Direct Co., Inc. is a North American distributor of metalworking and maintenance, repair and operations MRO products and services. The Companys range of MRO products include cutting tools, measuring instruments, tooling components, metalworking products, fasteners, flat stock, raw materials, abrasives, machinery hand and power tools, safety and janitorial supplies, plumbing supplies, materials handling products, power transmission components and electrical supplies. The Company serves a range of customers throughout the United States, Canada and the United Kingdom, from individual machine shops, to manufacturing companies, to government agencies, such as the General Services Administration and the Department of Defense. The Company also serves durable and non-durable goods manufacturing, education and healthcare markets, among others. As of September 3, 216, the Company had operated a network of 12 customer fulfillment centers.",US,MSC Industrial Direct Company,-,"MSC Industrial Direct Company, Inc. Common Stock",MSM
-,-,US,Suburban Propane Partners,-,"Suburban Propane Partners, L.P. Common Stock",SPH
"Machinery, Equipment  Components","Hillenbrand, Inc. is a diversified industrial company with multiple brands that serve a range of industries across the globe. The Company operates in two segments: the Process Equipment Group and Batesville. The Process Equipment Group businesses design, develop, manufacture and service engineered industrial equipment throughout the world. The Process Equipment Group segment is a provider of compounding, extrusion and material handling size reduction screening and separating, and flow control products and services for a range of manufacturing and other industrial processes. It offers equipment for industries, including plastics, chemicals, fertilizers and mining. Its Batesville segment operates in the North American death care industry, and manufactures and sells funeral service products, including burial caskets, cremation caskets, containers and urns other personalization and memorialization products, and Web-based technology applications.",US,Hillenbrand,-,Hillenbrand Inc Common Stock,HI
Residential  Commercial REIT,"Rafael Holdings, Inc. is a clinical-stage oncology pharmaceutical company.",US,Rafael Holdings,-,"Rafael Holdings, Inc. Class B Common Stock",RFL
Personal  Household Products  Services,"Nu Skin Enterprises, Inc. is a holding company. The Company through Nu Skin, a global direct selling company is engaged in developing and distributing personal care products and wellness products that are sold worldwide under the Nu Skin, Pharmanex and ageLOC brands. Nu Skin offers beauty and personal care products, which includes 18 System, AP 24, Body, DR. Dana, Epoch, Nu Colour, Nutricentials, Tri-Phasic White, Tru Face and Sunright. Pharmanex offers nutritional products, including ageLOC R2, ageLOC Vitality, ageLOC Youth, g3, LifePak, TR9 and S3 Scanner. Its ageLOC provides anti-aging products, which includes Facial Spa, Me, LumiSpa, TFEU and Transformation products. The Company operates through nine segments, which consists of seven geographic Nu Skin segments, including Mainland China, South Korea, Southeast Asia, AmericasPacific, Hong KongTaiwan, Europe, Middle East and Africa EMEA, and Japan. Its segments also include Manufacturing segment and Grow Tech segment.",US,Nu Skin Enterprises,-,"Nu Skin Enterprises, Inc. Common Stock",NUS
Automobiles  Auto Parts,"Titan International, Inc. is a wheel, tire, and undercarriage industrial manufacturer and supplier. The Companys segments are agricultural, earthmovingconstruction, and consumer. The Company produces a range of products to meet the specifications of original equipment manufacturers OEMs and aftermarket customers in the agricultural, earthmovingconstruction, and consumer markets. Its agricultural products include rims, wheels, tires, and undercarriage systems and components manufactured for use on various agricultural equipment. Its earthmovingconstruction products include rims, wheels, tires, and undercarriage systems and components for various types of off-the-road OTR earthmoving, mining, military, construction, and forestry equipment. The Companys consumer products include, but are not limited to, bias truck tires in Latin America and light truck tires in Russia, as well as products for all-terrain vehicles ATVs, turf, and golf cart applications.",US,Titan International,-,"Titan International, Inc. DE Common Stock",TWI
Homebuilding  Construction Supplies,"Advanced Drainage Systems, Inc. is a manufacturer of thermoplastic corrugated pipe, providing a suite of water management products and drainage solutions for use in the underground construction and infrastructure marketplace. The Companys operates through two segments: Domestic and International. Domestic segment manufactures and markets products throughout the United States. International segment manufactures and markets products in regions outside of the United States, with owned facilities in Canada and those markets serviced through its joint ventures in Mexico and South America. Its product line includes corrugated high-density polyethylene pipe, polypropylene pipe and related water management products. Its product line includes single, double and triple wall corrugated polypropylene and polyethylene pipe and a variety of additional water management products including, storm retention and septic chambers PVC drainage structures fittings and water quality filters.",US,Advanced Drainage Systems,-,"Advanced Drainage Systems, Inc. Common Stock",WMS
Biotechnology  Medical Research,"Forte Biosciences, Inc., formerly Tocagen Inc., is a clinical-stage biopharmaceutical company. ",US,Forte Biosciences,-,"Forte Biosciences, Inc.  - Common Stock",FBRX
Hotels  Entertainment Services,"Cracker Barrel Old Country Store, Inc. is engaged in the operation and development of the Cracker Barrel Old Country Store concept Cracker Barrel. The Companys segments include Restaurant and Retail. The Company operates approximately 66 Cracker Barrel stores in 45 states. The format of its stores consists of a rustic old country-store design offering a restaurant menu that features home-style country food and a range of decorative and functional items, such as rocking chairs, holiday and seasonal gifts and toys, apparel, cookware and foods. Its restaurants offer home-style country cooking featuring of its own recipes. Its restaurants serve breakfast, lunch and dinner. Its breakfast items include juices, eggs, pancakes, grits, and a range of biscuit specialties. Its lunch and dinner items include country ham, chicken and dumplings, chicken fried chicken, meatloaf, fresh side items and specialty items, such as pinto beans and turnip greens.",US,Cracker Barrel Old Country Store,-,"Cracker Barrel Old Country Store, Inc. - Common Stock",CBRL
Banking Services,"Banco Macro SA is an Argentina-based public company that offers traditional banking products and services to companies, including those operating in regional economies, and individuals, thus strengthening its goal to operate as a multiservice bank. Through other companies in the group, the Company also renders services as trustee agent and director and manager of mutual funds, as well as stock exchange services. The Company began the process of acquiring entities, assets and liabilities as part of the privatization of provincial banks and other banking institutions. The Company and Worldline Argentina SA entered into a joint venture agreement with Siemens Itron Business Servicies SA, to be jointly controlled by both companies, for the purpose of facilitating the development of a tax management data processing center, modernizing the existing tax collection systems and processes used by the Province of Salta, and managing and recovering municipal taxes and fees.",US,Banco Macro S.A,-,Banco Macro S.A.  ADR representing Ten Class B Common Shares,BMA
Household Goods,"Spectrum Brands Holdings, Inc. is a consumer products company. The Company is a supplier of residential locksets, residential builders hardware, plumbing, shaving and grooming products, personal care products, small household appliances, specialty pet supplies, lawn and garden and home pest control products and personal insect repellent products. The Company operates through vertically integrated four product-focused segments: Hardware  Home Improvement HHI, Home  Personal Care HPC, Global Pet Supplies PET and Home  Garden HG. The Companys brands include Kwikset, Weiser, Baldwin, National Hardware, Pfister, Remington, George Foreman, Russell Hobbs, BlackDecker, Tetra, Marineland, Natures Miracle, Dingo, 8-in-1, FURminator, IAMS and Eukanuba Europe only, DreamBone, Digest-eeze, Healthy-Hide, Littermaid, Spectracide, Cutter, Repel, Hot Shot, Black Flag and Liquid Fence.",US,Spectrum Brands Holdings,-,"Spectrum Brands Holdings, Inc. Common Stock",SPB
Healthcare Equipment  Supplies,"AtriCure, Inc. is an atrial fibrillation Afib solutions company. The Company develops, manufactures, and sells devices designed primarily for the surgical ablation of cardiac tissue and systems designed for the exclusion of the left atrial appendage. It has various product lines for the ablation of cardiac tissue, including its Isolator Synergy Ablation System, for the treatment of persistent and longstanding persistent forms of Afib in patients undergoing certain open concomitant procedures. It has two primary product lines for cardiac tissue ablation, which include Radio Frequency Ablation Devices and cryoICE Cryoablation System, and a product line for left atrial appendage exclusion. The Company also sells Lumitip dissectors and the Estech line of reusable cardiac surgery valve instruments. Its cryoICE cryosurgery product line offers various cryoablation devices. Its AtriClip Left Atrial Appendage Exclusion System is designed to occlude the hearts left atrial appendage LAA.",US,AtriCure,-,"AtriCure, Inc. - Common Stock",ATRC
Insurance,"AXIS Capital Holdings Limited is a holding company. The Company provides a range of specialty reinsurance, through subsidiaries and branch networks- based in Bermuda, the United States, Canada, Europe and Singapore. Its business consists of two global underwriting platforms: AXIS Insurance and AXIS Re. Its segments include Insurance and Reinsurance. The insurance segment operates through offices in Bermuda, the United States, Canada, Europe, Singapore and the Middle East. Its reinsurance segment operates through offices in Bermuda, the United States, Switzerland, Singapore, Brazil and Canada. The business lines in its insurance segment include property, marine, terrorism, aviation, credit and political risk, professional lines, liability, and accident and health. The business lines in its Reinsurance segment include catastrophe property professional lines credit and surety motor liability agriculture engineering, and marine and other.",US,Axis Capital,-,Axis Capital Holdings Limited Common Stock,AXS
Media  Publishing,"Nexstar Media Group, Inc., formerly Nexstar Broadcasting Group, Inc., is a television broadcasting and digital media company. The Company is focused on the acquisition, development and operation of television stations and interactive community Websites, and digital media services in medium-sized markets in the United States. The Companys segments include Broadcasting and Other. The Companys broadcast segment includes television stations and related community-focused Websites that it owns, operates, programs or provides sales and other services to in various markets across the United States. The other activities of the Company include corporate functions, eliminations and other operations. As of December 31, 216, it owned, operated, programmed or provided sales and other services to 14 full power television stations in 62 markets in the states of Alabama, Arizona, Arkansas, California, Colorado, Florida, New York, Utah, Vermont, Virginia, West Virginia and Wisconsin, among others.",US,Nexstar Media Group,-,"Nexstar Media Group, Inc. - Class A Common Stock",NXST
Communications  Networking,"NETGEAR, Inc. designs, develops and markets networking solutions and smart connected products for consumers, businesses and service providers. The Companys product line consists of devices, such as network attached storage, Internet protocol IP security cameras, and home automation devices and services. The Companys segments include retail, commercial and service provider. The retail business unit is focused on individual consumers and consists of whole home wireless fidelity WiFi networking solutions and Smart connected products. The commercial business unit is focused on small and medium-sized businesses and consists of business networking, storage and security solutions. The service provider business unit is focused on the service provider market and consists of made-to-order and retail-proven whole home networking hardware and software solutions, including fourth-generation 4G long term evolution LTE hotspots sold to service providers for sale to their subscribers.",US,NETGEAR,-,"NETGEAR, Inc. - Common Stock",NTGR
Software  IT Services,"Upland Software Inc. is a provider of cloud-based enterprise work management software. The Company provides a family of cloud-based enterprise work management software applications for the information technology, process excellence, finance, professional services and marketing functions within organizations. Its software applications serve a range of enterprise work management needs, from strategic planning to task execution. It services customers ranging from corporations and Government agencies to small- and medium-sized businesses. Its customers operate in a range of industries, including financial services, retail, technology, manufacturing, education, consumer goods, media, and telecommunications, Government, food and beverage, healthcare and life sciences, chemicals and travel and hospitality. The Company provides a family of cloud-based enterprise work management software applications under the Upland brand. It also provides audience engagement cloud software platform.",US,Upland Software,-,"Upland Software, Inc. - Common Stock",UPLD
Healthcare Equipment  Supplies,"iRhythm Technologies, Inc. is a digital health company. The Company develops and commercializes solutions that integrate biosensor technology, patient data, analytics and medical expertise. The Company offers flagship solution, the ZIO Service. Its myZIO provides a way for patients to enter their symptoms as they occur and on-the-go while wearing the ZIO Patch. Its ZIO Event Card is indicated for use on patients who experience transient symptoms, such as syncope, palpitations, and shortness of breath or dizziness. Its ZIO XT Patch is a non-invasive, water-resistant heart monitor, which prompts high patient compliance and a higher diagnostic yield. Its ZIO Report produces a higher diagnostic yield and to change patient management. The Companys Zio service combines a wire-free, patch-based, wearable biosensor with a proprietary cloud-based data analytic platform to help physicians monitor patients and diagnose arrhythmias.",US,iRhythm Technologies,-,"iRhythm Technologies, Inc. - Common Stock",IRTC
Communications  Networking,"Ribbon Communications, Inc., formerly Sonus Networks, Inc., is a provider of networked solutions for communications service providers and enterprises to help them secure and unify their real-time communications infrastructures. The Company helps communications service providers and enterprises hold the session initiation protocol SIP and fourth generation 4Glong term evolution LTE-based solutions, including voice over Internet protocol VoIP, voice over wireless fidelity VoWiFi, video and unified communications UC by securing and enabling Internet Protocol IP networks. Its products include session border controllers SBCs, diameter signaling controllers DSCs and VoWiFi solutions. Sonus Products include Sonus GSX9 Open Services Switch, Sonus T7 Intelligent Switching System, Sonus Diameter Signaling Controllers, Sonus Signal Transfer Points, Sonus PSX Policy  Routing Server, Sonus WebRTC Services Solution, and Sonus Network Management Solutions.",US,Ribbon Communications,-,Ribbon Communications Inc.  - Common Stock,RBBN
Specialty Retailers,"Sonic Automotive, Inc. is an automotive retailer in the United States. The Companys operating segments include Franchised Dealerships and EchoPark. The Franchised Dealerships Segment provides a range of services, including sales of both new and used cars and light trucks sales of replacement parts and performance of vehicle maintenance, manufacturer warranty repairs, and paint and collision repair services collectively, fixed operations arrangement of extended warranties, service contracts, financing, insurance, and other aftermarket products collectively, finance and insurance to its customers. The EchoPark Segment sells used cars and light trucks and arranges finance and insurance FI product sales for its customers in pre-owned vehicle retail locations. The Companys EchoPark business generally operates independently from its franchised dealerships business. The Company operates approximately 25 EchoPark stores in 12 states.",US,Sonic Automotive,-,"Sonic Automotive, Inc. Common Stock",SAH
Healthcare Providers  Services,"Genetic Technologies Limited is a molecular diagnostics company. The Company is engaged in the provision of molecular risk assessment for cancer. The Company offers predictive testing and assessment tools for physicians to manage womens health. The Companys lead product, BREVAGenplus, is a clinically validated risk assessment test for non-hereditary breast cancer. The Company markets BREVAGenplus to healthcare professionals in breast healthcare and imaging centers, as well as to obstetriciansgynecologists OBGYNs and breast cancer risk assessment specialists, such as breast surgeons. The Company operates in Australia, the United States and Switzerland. The Companys subsidiaries include Genetic Technologies Corporation Pty. Ltd. and Phenogen Sciences Inc. Genetic Technologies Corporation Pty. Ltd. is engaged in genetic testing. The Company has launched the BREVAGen test across the United States through Phenogen Sciences Inc.",Europe,Genetic Technologies Ltd,-,Genetic Technologies Ltd - American Depositary Shares representing 6 ordinary,GENE
Semiconductors  Semiconductor Equipment,"Sanmina Corporation is a provider of integrated manufacturing solutions, components, products and repair, logistics and after-market services. The Company provides its offerings primarily to original equipment manufacturers OEMs in various industries, including communications networks, storage, industrial, defense and aerospace, medical and energy. The Company operates through two businesses: Integrated Manufacturing Solutions IMS and Components, Products and Services CPS. IMS consists of printed circuit board assembly and test, final system assembly and test, and direct-order-fulfillment. Its Components include interconnect systems and mechanical systems. Its Products include memory, radio frequency RF, optical and microelectronics solutions, defense and aerospace products, storage solutions and cloud-based manufacturing execution software. Its Services include design, engineering, logistics and repair services.",US,Sanmina,-,Sanmina Corporation - Common Stock,SANM
